,Dataset,Cell_type
13772,CID005775-1,CD83+ CLEC9A+ DC
13773,CID005775-1,CD83- CLEC9A+ DC
13774,CID005775-1,CLEC10A+ DC
13775,CID005775-1,IL7R+ Activated DC
13776,CID005775-1,Mast Cell
13777,CID005775-1,Memory B cell
13778,CID005775-1,Monocyte Inflammatory
13779,CID005775-1,Proliferating myeloid
13780,CID005775-1,Resident Macrophage
13781,CID005775-1,CD4 SELL naive
13782,CID005775-1,CD4 TRM
13783,CID005775-1,CD4 Tfh
13784,CID005775-1,CD4 Th17
13785,CID005775-1,CD4 Tph
13786,CID005775-1,CD4 Treg
13787,CID005775-1,CD8 Effector
13788,CID005775-1,CD8 IEL
13789,CID005775-1,CD8 SELL Naive
13790,CID005775-1,ILC3
13791,CID005775-1,MAIT
13792,CID005775-1,NK
13793,CID005775-1,Proliferating T cells
13794,CID005775-1,gd T cell 1
13795,CID005775-1,gd T cell 2
13796,CID005775-1,GC-like B cell
13797,CID005775-1,Memory B cell
13798,CID005775-1,Naive B cell
13799,CID005775-1,Plasma Cell
13800,CID005775-1,Plasmablast
13801,CID005775-1,Arterial Pericyte
13802,CID005775-1,Blood Endothelial Cell
13803,CID005775-1,Fibroblast
13804,CID005775-1,Glial Cell
13805,CID005775-1,Inflammatory Fibroblast
13806,CID005775-1,Myofibroblast
13807,CID005775-1,Pericyte
13808,CID005775-1,Post-capillary venules
13809,CID005775-1,Proliferating Stromal Cell
13810,CID005775-1,Smooth Muscle Cell
13811,CID005775-1,Enterocyte
13812,CID005775-1,Enteroendocrine Cell
13813,CID005775-1,Epithelial M Cell
13814,CID005775-1,Epithelial Progenitor Cell
13815,CID005775-1,Epithelial Stem Cell
13816,CID005775-1,Goblet Cell
13817,CID005775-1,Tuft Cell
13818,CID005776-1,CD209+ moDC
13819,CID005776-1,CD83+ CLEC9A+ DC
13820,CID005776-1,CD83- CLEC9A+ DC
13821,CID005776-1,CLEC10A+ DC
13822,CID005776-1,IL7R+ Activated DC
13823,CID005776-1,Mast Cell
13824,CID005776-1,Memory B cell
13825,CID005776-1,Monocyte Inflammatory
13826,CID005776-1,Proliferating myeloid
13827,CID005776-1,Resident Macrophage
13828,CID005776-1,CD4 SELL naive
13829,CID005776-1,CD4 TRM
13830,CID005776-1,CD4 Tfh
13831,CID005776-1,CD4 Th17
13832,CID005776-1,CD4 Tph
13833,CID005776-1,CD4 Treg
13834,CID005776-1,CD8 Effector
13835,CID005776-1,CD8 IEL
13836,CID005776-1,CD8 SELL Naive
13837,CID005776-1,ILC3
13838,CID005776-1,MAIT
13839,CID005776-1,NK
13840,CID005776-1,Proliferating T cells
13841,CID005776-1,gd T cell 1
13842,CID005776-1,gd T cell 2
13843,CID005776-1,GC-like B cell
13844,CID005776-1,Memory B cell
13845,CID005776-1,Naive B cell
13846,CID005776-1,Plasma Cell
13847,CID005776-1,Plasmablast
13848,CID005776-1,Arterial Pericyte
13849,CID005776-1,Blood Endothelial Cell
13850,CID005776-1,Fibroblast
13851,CID005776-1,Glial Cell
13852,CID005776-1,Inflammatory Fibroblast
13853,CID005776-1,Myofibroblast
13854,CID005776-1,Pericyte
13855,CID005776-1,Post-capillary venules
13856,CID005776-1,Proliferating Stromal Cell
13857,CID005776-1,Smooth Muscle Cell
13858,CID005776-1,Enterocyte
13859,CID005776-1,Enteroendocrine Cell
13860,CID005776-1,Epithelial M Cell
13861,CID005776-1,Epithelial Progenitor Cell
13862,CID005776-1,Epithelial Stem Cell
13863,CID005776-1,Goblet Cell
13864,CID005776-1,Tuft Cell
13865,CID005777-1,CD209+ moDC
13866,CID005777-1,CD83+ CLEC9A+ DC
13867,CID005777-1,CD83- CLEC9A+ DC
13868,CID005777-1,CLEC10A+ DC
13869,CID005777-1,IL7R+ Activated DC
13870,CID005777-1,Mast Cell
13871,CID005777-1,Memory B cell
13872,CID005777-1,Monocyte Inflammatory
13873,CID005777-1,Proliferating myeloid
13874,CID005777-1,Resident Macrophage
13875,CID005777-1,CD4 SELL naive
13876,CID005777-1,CD4 TRM
13877,CID005777-1,CD4 Tfh
13878,CID005777-1,CD4 Th17
13879,CID005777-1,CD4 Tph
13880,CID005777-1,CD4 Treg
13881,CID005777-1,CD8 Effector
13882,CID005777-1,CD8 IEL
13883,CID005777-1,CD8 SELL Naive
13884,CID005777-1,ILC3
13885,CID005777-1,MAIT
13886,CID005777-1,NK
13887,CID005777-1,Proliferating T cells
13888,CID005777-1,gd T cell 1
13889,CID005777-1,gd T cell 2
13890,CID005777-1,GC-like B cell
13891,CID005777-1,Memory B cell
13892,CID005777-1,Naive B cell
13893,CID005777-1,Plasma Cell
13894,CID005777-1,Plasmablast
13895,CID005777-1,Arterial Pericyte
13896,CID005777-1,Blood Endothelial Cell
13897,CID005777-1,Fibroblast
13898,CID005777-1,Glial Cell
13899,CID005777-1,Inflammatory Fibroblast
13900,CID005777-1,Myofibroblast
13901,CID005777-1,Pericyte
13902,CID005777-1,Post-capillary venules
13903,CID005777-1,Proliferating Stromal Cell
13904,CID005777-1,Smooth Muscle Cell
13905,CID005777-1,Enterocyte
13906,CID005777-1,Enteroendocrine Cell
13907,CID005777-1,Epithelial M Cell
13908,CID005777-1,Epithelial Progenitor Cell
13909,CID005777-1,Epithelial Stem Cell
13910,CID005777-1,Goblet Cell
13911,CID005777-1,Tuft Cell
13912,CID005778-1,CD209+ moDC
13913,CID005778-1,CD83+ CLEC9A+ DC
13914,CID005778-1,CD83- CLEC9A+ DC
13915,CID005778-1,CLEC10A+ DC
13916,CID005778-1,IL7R+ Activated DC
13917,CID005778-1,Mast Cell
13918,CID005778-1,Memory B cell
13919,CID005778-1,Monocyte Inflammatory
13920,CID005778-1,Proliferating myeloid
13921,CID005778-1,Resident Macrophage
13922,CID005778-1,CD4 SELL naive
13923,CID005778-1,CD4 TRM
13924,CID005778-1,CD4 Tfh
13925,CID005778-1,CD4 Th17
13926,CID005778-1,CD4 Tph
13927,CID005778-1,CD4 Treg
13928,CID005778-1,CD8 Effector
13929,CID005778-1,CD8 IEL
13930,CID005778-1,CD8 SELL Naive
13931,CID005778-1,ILC3
13932,CID005778-1,MAIT
13933,CID005778-1,NK
13934,CID005778-1,Proliferating T cells
13935,CID005778-1,gd T cell 1
13936,CID005778-1,gd T cell 2
13937,CID005778-1,GC-like B cell
13938,CID005778-1,Memory B cell
13939,CID005778-1,Naive B cell
13940,CID005778-1,Plasma Cell
13941,CID005778-1,Plasmablast
13942,CID005778-1,Arterial Pericyte
13943,CID005778-1,Blood Endothelial Cell
13944,CID005778-1,Fibroblast
13945,CID005778-1,Glial Cell
13946,CID005778-1,Inflammatory Fibroblast
13947,CID005778-1,Myofibroblast
13948,CID005778-1,Pericyte
13949,CID005778-1,Post-capillary venules
13950,CID005778-1,Proliferating Stromal Cell
13951,CID005778-1,Smooth Muscle Cell
13952,CID005778-1,Enterocyte
13953,CID005778-1,Enteroendocrine Cell
13954,CID005778-1,Epithelial M Cell
13955,CID005778-1,Epithelial Progenitor Cell
13956,CID005778-1,Epithelial Stem Cell
13957,CID005778-1,Goblet Cell
13958,CID005778-1,Tuft Cell
13959,CID005779-1,CD209+ moDC
13960,CID005779-1,CD83+ CLEC9A+ DC
13961,CID005779-1,CD83- CLEC9A+ DC
13962,CID005779-1,CLEC10A+ DC
13963,CID005779-1,IL7R+ Activated DC
13964,CID005779-1,Mast Cell
13965,CID005779-1,Memory B cell
13966,CID005779-1,Monocyte Inflammatory
13967,CID005779-1,Proliferating myeloid
13968,CID005779-1,Resident Macrophage
13969,CID005779-1,CD4 SELL naive
13970,CID005779-1,CD4 TRM
13971,CID005779-1,CD4 Tfh
13972,CID005779-1,CD4 Th17
13973,CID005779-1,CD4 Tph
13974,CID005779-1,CD4 Treg
13975,CID005779-1,CD8 Effector
13976,CID005779-1,CD8 IEL
13977,CID005779-1,CD8 SELL Naive
13978,CID005779-1,ILC3
13979,CID005779-1,MAIT
13980,CID005779-1,NK
13981,CID005779-1,Proliferating T cells
13982,CID005779-1,gd T cell 1
13983,CID005779-1,gd T cell 2
13984,CID005779-1,GC-like B cell
13985,CID005779-1,Memory B cell
13986,CID005779-1,Naive B cell
13987,CID005779-1,Plasma Cell
13988,CID005779-1,Plasmablast
13989,CID005779-1,Arterial Pericyte
13990,CID005779-1,Blood Endothelial Cell
13991,CID005779-1,Fibroblast
13992,CID005779-1,Glial Cell
13993,CID005779-1,Inflammatory Fibroblast
13994,CID005779-1,Myofibroblast
13995,CID005779-1,Pericyte
13996,CID005779-1,Post-capillary venules
13997,CID005779-1,Proliferating Stromal Cell
13998,CID005779-1,Smooth Muscle Cell
13999,CID005779-1,Enterocyte
14000,CID005779-1,Enteroendocrine Cell
14001,CID005779-1,Epithelial M Cell
14002,CID005779-1,Epithelial Progenitor Cell
14003,CID005779-1,Epithelial Stem Cell
14004,CID005779-1,Goblet Cell
14005,CID005779-1,Tuft Cell
14006,CID005780-1,CD209+ moDC
14007,CID005780-1,CD83+ CLEC9A+ DC
14008,CID005780-1,CD83- CLEC9A+ DC
14009,CID005780-1,CLEC10A+ DC
14010,CID005780-1,IL7R+ Activated DC
14011,CID005780-1,Mast Cell
14012,CID005780-1,Memory B cell
14013,CID005780-1,Monocyte Inflammatory
14014,CID005780-1,Proliferating myeloid
14015,CID005780-1,Resident Macrophage
14016,CID005780-1,CD4 SELL naive
14017,CID005780-1,CD4 TRM
14018,CID005780-1,CD4 Tfh
14019,CID005780-1,CD4 Th17
14020,CID005780-1,CD4 Tph
14021,CID005780-1,CD4 Treg
14022,CID005780-1,CD8 Effector
14023,CID005780-1,CD8 IEL
14024,CID005780-1,CD8 SELL Naive
14025,CID005780-1,ILC3
14026,CID005780-1,MAIT
14027,CID005780-1,NK
14028,CID005780-1,Proliferating T cells
14029,CID005780-1,gd T cell 1
14030,CID005780-1,gd T cell 2
14031,CID005780-1,GC-like B cell
14032,CID005780-1,Memory B cell
14033,CID005780-1,Naive B cell
14034,CID005780-1,Plasma Cell
14035,CID005780-1,Plasmablast
14036,CID005780-1,Arterial Pericyte
14037,CID005780-1,Blood Endothelial Cell
14038,CID005780-1,Fibroblast
14039,CID005780-1,Glial Cell
14040,CID005780-1,Inflammatory Fibroblast
14041,CID005780-1,Myofibroblast
14042,CID005780-1,Pericyte
14043,CID005780-1,Post-capillary venules
14044,CID005780-1,Proliferating Stromal Cell
14045,CID005780-1,Smooth Muscle Cell
14046,CID005780-1,Enterocyte
14047,CID005780-1,Enteroendocrine Cell
14048,CID005780-1,Epithelial M Cell
14049,CID005780-1,Epithelial Progenitor Cell
14050,CID005780-1,Epithelial Stem Cell
14051,CID005780-1,Goblet Cell
14052,CID005780-1,Tuft Cell
14053,CID005781-1,CD209+ moDC
14054,CID005781-1,CD83+ CLEC9A+ DC
14055,CID005781-1,CD83- CLEC9A+ DC
14056,CID005781-1,CLEC10A+ DC
14057,CID005781-1,IL7R+ Activated DC
14058,CID005781-1,Mast Cell
14059,CID005781-1,Memory B cell
14060,CID005781-1,Monocyte Inflammatory
14061,CID005781-1,Proliferating myeloid
14062,CID005781-1,Resident Macrophage
14063,CID005781-1,CD4 SELL naive
14064,CID005781-1,CD4 TRM
14065,CID005781-1,CD4 Tfh
14066,CID005781-1,CD4 Th17
14067,CID005781-1,CD4 Tph
14068,CID005781-1,CD4 Treg
14069,CID005781-1,CD8 Effector
14070,CID005781-1,CD8 IEL
14071,CID005781-1,CD8 SELL Naive
14072,CID005781-1,ILC3
14073,CID005781-1,MAIT
14074,CID005781-1,NK
14075,CID005781-1,Proliferating T cells
14076,CID005781-1,gd T cell 1
14077,CID005781-1,gd T cell 2
14078,CID005781-1,GC-like B cell
14079,CID005781-1,Memory B cell
14080,CID005781-1,Naive B cell
14081,CID005781-1,Plasma Cell
14082,CID005781-1,Plasmablast
14083,CID005781-1,Arterial Pericyte
14084,CID005781-1,Blood Endothelial Cell
14085,CID005781-1,Fibroblast
14086,CID005781-1,Glial Cell
14087,CID005781-1,Inflammatory Fibroblast
14088,CID005781-1,Myofibroblast
14089,CID005781-1,Pericyte
14090,CID005781-1,Post-capillary venules
14091,CID005781-1,Proliferating Stromal Cell
14092,CID005781-1,Smooth Muscle Cell
14093,CID005781-1,Enterocyte
14094,CID005781-1,Enteroendocrine Cell
14095,CID005781-1,Epithelial M Cell
14096,CID005781-1,Epithelial Progenitor Cell
14097,CID005781-1,Epithelial Stem Cell
14098,CID005781-1,Goblet Cell
14099,CID005781-1,Tuft Cell
14100,CID005782-1,CD209+ moDC
14101,CID005782-1,CD83+ CLEC9A+ DC
14102,CID005782-1,CD83- CLEC9A+ DC
14103,CID005782-1,CLEC10A+ DC
14104,CID005782-1,IL7R+ Activated DC
14105,CID005782-1,Mast Cell
14106,CID005782-1,Memory B cell
14107,CID005782-1,Monocyte Inflammatory
14108,CID005782-1,Proliferating myeloid
14109,CID005782-1,Resident Macrophage
14110,CID005782-1,CD4 SELL naive
14111,CID005782-1,CD4 TRM
14112,CID005782-1,CD4 Tfh
14113,CID005782-1,CD4 Th17
14114,CID005782-1,CD4 Tph
14115,CID005782-1,CD4 Treg
14116,CID005782-1,CD8 Effector
14117,CID005782-1,CD8 IEL
14118,CID005782-1,CD8 SELL Naive
14119,CID005782-1,ILC3
14120,CID005782-1,MAIT
14121,CID005782-1,NK
14122,CID005782-1,Proliferating T cells
14123,CID005782-1,gd T cell 1
14124,CID005782-1,gd T cell 2
14125,CID005782-1,GC-like B cell
14126,CID005782-1,Memory B cell
14127,CID005782-1,Naive B cell
14128,CID005782-1,Plasma Cell
14129,CID005782-1,Plasmablast
14130,CID005782-1,Arterial Pericyte
14131,CID005782-1,Blood Endothelial Cell
14132,CID005782-1,Fibroblast
14133,CID005782-1,Glial Cell
14134,CID005782-1,Inflammatory Fibroblast
14135,CID005782-1,Myofibroblast
14136,CID005782-1,Pericyte
14137,CID005782-1,Post-capillary venules
14138,CID005782-1,Proliferating Stromal Cell
14139,CID005782-1,Smooth Muscle Cell
14140,CID005782-1,Enterocyte
14141,CID005782-1,Enteroendocrine Cell
14142,CID005782-1,Epithelial M Cell
14143,CID005782-1,Epithelial Progenitor Cell
14144,CID005782-1,Epithelial Stem Cell
14145,CID005782-1,Goblet Cell
14146,CID005782-1,Tuft Cell
14147,CID006558-1,CD209+ moDC
14148,CID006558-1,CD83+ CLEC9A+ DC
14149,CID006558-1,CD83- CLEC9A+ DC
14150,CID006558-1,CLEC10A+ DC
14151,CID006558-1,IL7R+ Activated DC
14152,CID006558-1,Mast Cell
14153,CID006558-1,Memory B cell
14154,CID006558-1,Monocyte Inflammatory
14155,CID006558-1,Proliferating myeloid
14156,CID006558-1,Resident Macrophage
14157,CID006558-1,CD4 SELL naive
14158,CID006558-1,CD4 TRM
14159,CID006558-1,CD4 Tfh
14160,CID006558-1,CD4 Th17
14161,CID006558-1,CD4 Tph
14162,CID006558-1,CD4 Treg
14163,CID006558-1,CD8 Effector
14164,CID006558-1,CD8 IEL
14165,CID006558-1,CD8 SELL Naive
14166,CID006558-1,ILC3
14167,CID006558-1,MAIT
14168,CID006558-1,NK
14169,CID006558-1,Proliferating T cells
14170,CID006558-1,gd T cell 1
14171,CID006558-1,gd T cell 2
14172,CID006558-1,GC-like B cell
14173,CID006558-1,Memory B cell
14174,CID006558-1,Naive B cell
14175,CID006558-1,Plasma Cell
14176,CID006558-1,Plasmablast
14177,CID006558-1,Arterial Pericyte
14178,CID006558-1,Blood Endothelial Cell
14179,CID006558-1,Fibroblast
14180,CID006558-1,Glial Cell
14181,CID006558-1,Inflammatory Fibroblast
14182,CID006558-1,Myofibroblast
14183,CID006558-1,Pericyte
14184,CID006558-1,Post-capillary venules
14185,CID006558-1,Proliferating Stromal Cell
14186,CID006558-1,Smooth Muscle Cell
14187,CID006558-1,Enterocyte
14188,CID006558-1,Enteroendocrine Cell
14189,CID006558-1,Epithelial M Cell
14190,CID006558-1,Epithelial Progenitor Cell
14191,CID006558-1,Epithelial Stem Cell
14192,CID006558-1,Goblet Cell
14193,CID006558-1,Tuft Cell
14194,CID006559-1,CD209+ moDC
14195,CID006559-1,CD83+ CLEC9A+ DC
14196,CID006559-1,CD83- CLEC9A+ DC
14197,CID006559-1,CLEC10A+ DC
14198,CID006559-1,IL7R+ Activated DC
14199,CID006559-1,Mast Cell
14200,CID006559-1,Memory B cell
14201,CID006559-1,Monocyte Inflammatory
14202,CID006559-1,Proliferating myeloid
14203,CID006559-1,Resident Macrophage
14204,CID006559-1,CD4 SELL naive
14205,CID006559-1,CD4 TRM
14206,CID006559-1,CD4 Tfh
14207,CID006559-1,CD4 Th17
14208,CID006559-1,CD4 Tph
14209,CID006559-1,CD4 Treg
14210,CID006559-1,CD8 Effector
14211,CID006559-1,CD8 IEL
14212,CID006559-1,CD8 SELL Naive
14213,CID006559-1,ILC3
14214,CID006559-1,MAIT
14215,CID006559-1,NK
14216,CID006559-1,Proliferating T cells
14217,CID006559-1,gd T cell 1
14218,CID006559-1,gd T cell 2
14219,CID006559-1,GC-like B cell
14220,CID006559-1,Memory B cell
14221,CID006559-1,Naive B cell
14222,CID006559-1,Plasma Cell
14223,CID006559-1,Plasmablast
14224,CID006559-1,Arterial Pericyte
14225,CID006559-1,Blood Endothelial Cell
14226,CID006559-1,Fibroblast
14227,CID006559-1,Glial Cell
14228,CID006559-1,Inflammatory Fibroblast
14229,CID006559-1,Myofibroblast
14230,CID006559-1,Pericyte
14231,CID006559-1,Post-capillary venules
14232,CID006559-1,Proliferating Stromal Cell
14233,CID006559-1,Smooth Muscle Cell
14234,CID006559-1,Enterocyte
14235,CID006559-1,Enteroendocrine Cell
14236,CID006559-1,Epithelial M Cell
14237,CID006559-1,Epithelial Progenitor Cell
14238,CID006559-1,Epithelial Stem Cell
14239,CID006559-1,Goblet Cell
14240,CID006559-1,Tuft Cell
14241,CID006560-1,CD209+ moDC
14242,CID006560-1,CD83+ CLEC9A+ DC
14243,CID006560-1,CD83- CLEC9A+ DC
14244,CID006560-1,CLEC10A+ DC
14245,CID006560-1,IL7R+ Activated DC
14246,CID006560-1,Mast Cell
14247,CID006560-1,Memory B cell
14248,CID006560-1,Monocyte Inflammatory
14249,CID006560-1,Proliferating myeloid
14250,CID006560-1,Resident Macrophage
14251,CID006560-1,CD4 SELL naive
14252,CID006560-1,CD4 TRM
14253,CID006560-1,CD4 Tfh
14254,CID006560-1,CD4 Th17
14255,CID006560-1,CD4 Tph
14256,CID006560-1,CD4 Treg
14257,CID006560-1,CD8 Effector
14258,CID006560-1,CD8 IEL
14259,CID006560-1,CD8 SELL Naive
14260,CID006560-1,ILC3
14261,CID006560-1,MAIT
14262,CID006560-1,NK
14263,CID006560-1,Proliferating T cells
14264,CID006560-1,gd T cell 1
14265,CID006560-1,gd T cell 2
14266,CID006560-1,GC-like B cell
14267,CID006560-1,Memory B cell
14268,CID006560-1,Naive B cell
14269,CID006560-1,Plasma Cell
14270,CID006560-1,Plasmablast
14271,CID006560-1,Arterial Pericyte
14272,CID006560-1,Blood Endothelial Cell
14273,CID006560-1,Fibroblast
14274,CID006560-1,Glial Cell
14275,CID006560-1,Inflammatory Fibroblast
14276,CID006560-1,Myofibroblast
14277,CID006560-1,Pericyte
14278,CID006560-1,Post-capillary venules
14279,CID006560-1,Proliferating Stromal Cell
14280,CID006560-1,Smooth Muscle Cell
14281,CID006560-1,Enterocyte
14282,CID006560-1,Enteroendocrine Cell
14283,CID006560-1,Epithelial M Cell
14284,CID006560-1,Epithelial Progenitor Cell
14285,CID006560-1,Epithelial Stem Cell
14286,CID006560-1,Goblet Cell
14287,CID006560-1,Tuft Cell
14288,CID006560-2,CD209+ moDC
14289,CID006560-2,CD83+ CLEC9A+ DC
14290,CID006560-2,CD83- CLEC9A+ DC
14291,CID006560-2,CLEC10A+ DC
14292,CID006560-2,IL7R+ Activated DC
14293,CID006560-2,Mast Cell
14294,CID006560-2,Memory B cell
14295,CID006560-2,Monocyte Inflammatory
14296,CID006560-2,Proliferating myeloid
14297,CID006560-2,Resident Macrophage
14298,CID006560-2,CD4 SELL naive
14299,CID006560-2,CD4 TRM
14300,CID006560-2,CD4 Tfh
14301,CID006560-2,CD4 Th17
14302,CID006560-2,CD4 Tph
14303,CID006560-2,CD4 Treg
14304,CID006560-2,CD8 Effector
14305,CID006560-2,CD8 IEL
14306,CID006560-2,CD8 SELL Naive
14307,CID006560-2,ILC3
14308,CID006560-2,MAIT
14309,CID006560-2,NK
14310,CID006560-2,Proliferating T cells
14311,CID006560-2,gd T cell 1
14312,CID006560-2,gd T cell 2
14313,CID006560-2,GC-like B cell
14314,CID006560-2,Memory B cell
14315,CID006560-2,Naive B cell
14316,CID006560-2,Plasma Cell
14317,CID006560-2,Plasmablast
14318,CID006560-2,Arterial Pericyte
14319,CID006560-2,Blood Endothelial Cell
14320,CID006560-2,Fibroblast
14321,CID006560-2,Glial Cell
14322,CID006560-2,Inflammatory Fibroblast
14323,CID006560-2,Myofibroblast
14324,CID006560-2,Pericyte
14325,CID006560-2,Post-capillary venules
14326,CID006560-2,Proliferating Stromal Cell
14327,CID006560-2,Smooth Muscle Cell
14328,CID006560-2,Enterocyte
14329,CID006560-2,Enteroendocrine Cell
14330,CID006560-2,Epithelial M Cell
14331,CID006560-2,Epithelial Progenitor Cell
14332,CID006560-2,Epithelial Stem Cell
14333,CID006560-2,Goblet Cell
14334,CID006560-2,Tuft Cell
14335,CID006561-1,CD209+ moDC
14336,CID006561-1,CD83+ CLEC9A+ DC
14337,CID006561-1,CD83- CLEC9A+ DC
14338,CID006561-1,CLEC10A+ DC
14339,CID006561-1,IL7R+ Activated DC
14340,CID006561-1,Mast Cell
14341,CID006561-1,Memory B cell
14342,CID006561-1,Monocyte Inflammatory
14343,CID006561-1,Proliferating myeloid
14344,CID006561-1,Resident Macrophage
14345,CID006561-1,CD4 SELL naive
14346,CID006561-1,CD4 TRM
14347,CID006561-1,CD4 Tfh
14348,CID006561-1,CD4 Th17
14349,CID006561-1,CD4 Tph
14350,CID006561-1,CD4 Treg
14351,CID006561-1,CD8 Effector
14352,CID006561-1,CD8 IEL
14353,CID006561-1,CD8 SELL Naive
14354,CID006561-1,ILC3
14355,CID006561-1,MAIT
14356,CID006561-1,NK
14357,CID006561-1,Proliferating T cells
14358,CID006561-1,gd T cell 1
14359,CID006561-1,gd T cell 2
14360,CID006561-1,GC-like B cell
14361,CID006561-1,Memory B cell
14362,CID006561-1,Naive B cell
14363,CID006561-1,Plasma Cell
14364,CID006561-1,Plasmablast
14365,CID006561-1,Arterial Pericyte
14366,CID006561-1,Blood Endothelial Cell
14367,CID006561-1,Fibroblast
14368,CID006561-1,Glial Cell
14369,CID006561-1,Inflammatory Fibroblast
14370,CID006561-1,Myofibroblast
14371,CID006561-1,Pericyte
14372,CID006561-1,Post-capillary venules
14373,CID006561-1,Proliferating Stromal Cell
14374,CID006561-1,Smooth Muscle Cell
14375,CID006561-1,Enterocyte
14376,CID006561-1,Enteroendocrine Cell
14377,CID006561-1,Epithelial M Cell
14378,CID006561-1,Epithelial Progenitor Cell
14379,CID006561-1,Epithelial Stem Cell
14380,CID006561-1,Goblet Cell
14381,CID006561-1,Tuft Cell
14382,CID006562-1,CD209+ moDC
14383,CID006562-1,CD83+ CLEC9A+ DC
14384,CID006562-1,CD83- CLEC9A+ DC
14385,CID006562-1,CLEC10A+ DC
14386,CID006562-1,IL7R+ Activated DC
14387,CID006562-1,Mast Cell
14388,CID006562-1,Memory B cell
14389,CID006562-1,Monocyte Inflammatory
14390,CID006562-1,Proliferating myeloid
14391,CID006562-1,Resident Macrophage
14392,CID006562-1,CD4 SELL naive
14393,CID006562-1,CD4 TRM
14394,CID006562-1,CD4 Tfh
14395,CID006562-1,CD4 Th17
14396,CID006562-1,CD4 Tph
14397,CID006562-1,CD4 Treg
14398,CID006562-1,CD8 Effector
14399,CID006562-1,CD8 IEL
14400,CID006562-1,CD8 SELL Naive
14401,CID006562-1,ILC3
14402,CID006562-1,MAIT
14403,CID006562-1,NK
14404,CID006562-1,Proliferating T cells
14405,CID006562-1,gd T cell 1
14406,CID006562-1,gd T cell 2
14407,CID006562-1,GC-like B cell
14408,CID006562-1,Memory B cell
14409,CID006562-1,Naive B cell
14410,CID006562-1,Plasma Cell
14411,CID006562-1,Plasmablast
14412,CID006562-1,Arterial Pericyte
14413,CID006562-1,Blood Endothelial Cell
14414,CID006562-1,Fibroblast
14415,CID006562-1,Glial Cell
14416,CID006562-1,Inflammatory Fibroblast
14417,CID006562-1,Myofibroblast
14418,CID006562-1,Pericyte
14419,CID006562-1,Post-capillary venules
14420,CID006562-1,Proliferating Stromal Cell
14421,CID006562-1,Smooth Muscle Cell
14422,CID006562-1,Enterocyte
14423,CID006562-1,Enteroendocrine Cell
14424,CID006562-1,Epithelial M Cell
14425,CID006562-1,Epithelial Progenitor Cell
14426,CID006562-1,Epithelial Stem Cell
14427,CID006562-1,Goblet Cell
14428,CID006562-1,Tuft Cell
14429,CID006563-1,CD209+ moDC
14430,CID006563-1,CD83+ CLEC9A+ DC
14431,CID006563-1,CD83- CLEC9A+ DC
14432,CID006563-1,CLEC10A+ DC
14433,CID006563-1,IL7R+ Activated DC
14434,CID006563-1,Mast Cell
14435,CID006563-1,Memory B cell
14436,CID006563-1,Monocyte Inflammatory
14437,CID006563-1,Proliferating myeloid
14438,CID006563-1,Resident Macrophage
14439,CID006563-1,CD4 SELL naive
14440,CID006563-1,CD4 TRM
14441,CID006563-1,CD4 Tfh
14442,CID006563-1,CD4 Th17
14443,CID006563-1,CD4 Tph
14444,CID006563-1,CD4 Treg
14445,CID006563-1,CD8 Effector
14446,CID006563-1,CD8 IEL
14447,CID006563-1,CD8 SELL Naive
14448,CID006563-1,ILC3
14449,CID006563-1,MAIT
14450,CID006563-1,NK
14451,CID006563-1,Proliferating T cells
14452,CID006563-1,gd T cell 1
14453,CID006563-1,gd T cell 2
14454,CID006563-1,GC-like B cell
14455,CID006563-1,Memory B cell
14456,CID006563-1,Naive B cell
14457,CID006563-1,Plasma Cell
14458,CID006563-1,Plasmablast
14459,CID006563-1,Arterial Pericyte
14460,CID006563-1,Blood Endothelial Cell
14461,CID006563-1,Fibroblast
14462,CID006563-1,Glial Cell
14463,CID006563-1,Inflammatory Fibroblast
14464,CID006563-1,Myofibroblast
14465,CID006563-1,Pericyte
14466,CID006563-1,Post-capillary venules
14467,CID006563-1,Proliferating Stromal Cell
14468,CID006563-1,Smooth Muscle Cell
14469,CID006563-1,Enterocyte
14470,CID006563-1,Enteroendocrine Cell
14471,CID006563-1,Epithelial M Cell
14472,CID006563-1,Epithelial Progenitor Cell
14473,CID006563-1,Epithelial Stem Cell
14474,CID006563-1,Goblet Cell
14475,CID006563-1,Tuft Cell
14476,CID006564-1,CD209+ moDC
14477,CID006564-1,CD83+ CLEC9A+ DC
14478,CID006564-1,CD83- CLEC9A+ DC
14479,CID006564-1,CLEC10A+ DC
14480,CID006564-1,IL7R+ Activated DC
14481,CID006564-1,Mast Cell
14482,CID006564-1,Memory B cell
14483,CID006564-1,Monocyte Inflammatory
14484,CID006564-1,Proliferating myeloid
14485,CID006564-1,Resident Macrophage
14486,CID006564-1,CD4 SELL naive
14487,CID006564-1,CD4 TRM
14488,CID006564-1,CD4 Tfh
14489,CID006564-1,CD4 Th17
14490,CID006564-1,CD4 Tph
14491,CID006564-1,CD4 Treg
14492,CID006564-1,CD8 Effector
14493,CID006564-1,CD8 IEL
14494,CID006564-1,CD8 SELL Naive
14495,CID006564-1,ILC3
14496,CID006564-1,MAIT
14497,CID006564-1,NK
14498,CID006564-1,Proliferating T cells
14499,CID006564-1,gd T cell 1
14500,CID006564-1,gd T cell 2
14501,CID006564-1,GC-like B cell
14502,CID006564-1,Memory B cell
